Mixture	Group	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
J2C	LUAD	0.077287857	0	0.040920411	0.003109389	0	0.221490099	0	0	0	0.040188262	0	0.035629306	0	0.123609019	0.136713502	0.187071774	0	0	0.130028438	0	0	0.003951942	0.029	0.304798873	0.954324065
J2N	NL	0.142141677	0	0.003083724	0.048652263	0	0.18727399	0	0	0	0	0.06390828	0.033098037	0	0.141015683	0.041841605	0.126437159	0	0.005973501	0.195482953	0	0	0.011091127	0.016	0.368662007	0.927447859
J3C	LUAD	0.167118483	0	0.035842665	0.078827173	0	0.03062873	0	0.014602349	0.00313477	0.011494143	0	0.063431748	0	0.075876686	0.086153929	0.215559445	0	0.07747597	0.133329545	0	0	0.006524363	0.009	0.390308411	0.918156214
J3N	NL	0.127494488	0	0.026174564	0.060780974	0	0.109874227	0	0.004078883	0	0	0.013503589	0	0	0.191552415	0.029421612	0.137714187	0	0	0.195523518	0.08281694	0	0.021064605	0.002	0.518968706	0.87000936
J5C	LUAD	0.046683744	0	0.122142509	0.080224638	0	0.131730887	0	0	0.014474717	0.010651422	0	0.048415702	0	0.056207171	0.09850717	0.210288694	0	0	0.122656019	0	0	0.058017326	0.007	0.402197694	0.914642325
J5N	NL	0.159741192	0	0.038723321	0	0.019530499	0.140837465	0.009837343	0	0	0	0.033904399	0	0	0.170530037	0.02155161	0.338466858	0	0	0	0.048481112	0	0.018396162	0.003	0.46418009	0.895769736
J7C	LUAD	0.05966127	0	0	0.076021818	0	0.088457407	0	0.073723107	0	0.013489111	0	0.014891904	0	0.115971308	0.174748158	0.27773212	0	0	0.039368123	0.019338535	0	0.046597139	0.034	0.296508202	0.963060316
J7N	NL	0.084502503	0	0.058215469	0.054414618	0	0.152791543	0	0	0	0.015609509	0.037057784	0.018068573	0	0.106022517	0.129761492	0.189441405	0	0	0.117169193	0.020124085	0	0.016821309	0.045	0.278633202	0.963820507
J8C	LUAD	0.111248309	0.030610939	0.085900979	0.040399426	0	0.129578954	0	0.006734014	0.076925571	0	0	0.116576477	0	0	0.10620794	0.111442341	0	0.00584473	0.086825156	0	0	0.091705163	0.003	0.475394663	0.878595623
J8N	NL	0.046680695	0	0	0.14106345	0	0.137945233	0.000151993	0	0	0	0.034714503	0.026094682	0	0.148636231	0.060128753	0.257836318	0	0.00381089	0.080106506	0.027175451	0.006284544	0.029370751	0.015	0.371441159	0.926079263
