Mixture	Group	B_cells_naive	B_cells_memory	Plasma_cells	T_cells_CD8	T_cells_CD4_naive	T_cells_CD4_memory_resting	T_cells_CD4_memory_activated	T_cells_follicular_helper	T_cells_regulatory_(Tregs)	T_cells_gamma_delta	NK_cells_resting	NK_cells_activated	Monocytes	Macrophages_M0	Macrophages_M1	Macrophages_M2	Dendritic_cells_resting	Dendritic_cells_activated	Mast_cells_resting	Mast_cells_activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
001-NL	NL	0	0	0.000773761	0.264822063	0	0.062977685	0	0	0.00397171	0	0	0.106228912	0.042865312	0.060831755	0.019743294	0.282810785	0	0.061502376	0	0.081774788	0	0.011697559	0.581	0.020128438	1.103818363
002-NL	NL	0.013875904	0	0.018603668	0.106257646	0	0.31990049	0.007359658	0	0	0	0.021112069	0.046122689	0.062355042	0	0.055992384	0.145584267	0	0.028717728	0.150440519	0	0	0.023677936	0.025	0.224049344	0.994350527
003-NL	NL	0	0.00226339	0	0.173618259	0	0.012298257	0	0.051362301	0.001695105	0	0.039143718	0.181115983	0.033278319	0	0.052892835	0.366872921	0	0.040016896	0.027844987	0	0	0.017597029	0.163	0.092451273	1.086723894
004-NL	NL	0.010990045	0	0.020100814	0.209392864	0	0.267148351	0	0	0	0	0.124014905	0	0.058380266	0	0	0.081197728	0	0.077438482	0.077462777	0.049356537	0	0.024517232	0.217	0.07865256	1.072850914
005-NL	NL	0	0	0	0.118050954	0	0.049448551	0	0.006463136	0.001353065	0	0	0.193706531	0.030699593	0.068752588	0.019665988	0.305575912	0	0.072448905	0.133834776	0	0	0	0.165	0.0920835	1.07273424
006-NL	NL	0.036637487	0	0.008354794	0.067665703	0	0.297377055	0	0.004585731	0	0	0	0.107771223	0.040688175	0.063659485	0	0.218538022	0	0.02272817	0.131994156	0	0	0	0.079	0.138989333	1.032865559
007-NL	NL	0.02122294	0	0.003073455	0.144898856	0	0.075062876	0	0.015112103	0	0	0	0.181805979	0.078378726	0	0.055250872	0.234036021	0	0.047660184	0	0.143497989	0	0	0.188	0.085990392	1.08872081
009-NL	NL	0	0	0.003042573	0.25254757	0	0.02990855	0	0.000145207	0	0	0.021546372	0.164359411	0.052354472	0.006130794	0.028750854	0.315908233	0	0.007203602	0.106632578	0	0	0.011469784	0.026	0.217706252	1.017066464
010-NL	NL	0	0	0	0.291845061	0	0	0	0.035464778	0.002849757	0	0.09437215	0.112762783	0.040164762	0.012486556	0.057221578	0.25332073	0	0.040422838	0.043689005	0	0	0.015400003	0.127	0.108095769	1.077886
014-NL	NL	0.000485145	0	0	0.249578745	0	0.316168563	0	0	0	0	0.09908337	0.067571139	0.101134342	0	0.014914812	0.084921516	0	0.030093505	0.033271053	0.002777809	0	0	0.15	0.099135951	1.093302533
016-NL	NL	0.027153201	0	0	0.237977091	0	0.071886409	0	0.06260865	0	0	0	0.20207859	0.087224371	0	0.079482046	0.138260772	0	0.034826901	0	0.058501969	0	0	0.217	0.078784283	1.104391397
017-NL	NL	0.007168722	0	0.003013438	0.225294847	0	0.085413221	0	0.027998993	0	0	0	0.186612908	0.029867205	0.04593971	0.121973025	0.201786343	0.018489586	0	0.046442002	0	0	0	0.065	0.150280123	1.061141869
018-NL	NL	0	0	0.002688642	0.332420757	0	0.049148445	0	0.044737697	0	0	0.008632016	0.177313152	0.049563609	0.011087282	0.038772035	0.235820724	0	0	0.044671279	0	0	0.005144362	0.033	0.19692332	1.040847166
020-NL	NL	0.009683062	0	0.003142516	0.296833319	0	0.049786756	0.015344587	0	0	0	0.165247868	0.046722686	0.088653744	0.007003795	0.017432409	0.157430849	0	0.045775791	0.06713988	0	0	0.029802739	0.02	0.241456807	1.00730439
022-NL	NL	0.012074343	0	0.010859234	0.116455901	0	0.248936049	0	0	0	0	0.08710084	0.062638924	0.042033422	0	0.054018459	0.246182929	0	0.034423258	0.035199414	0.046543642	0	0.003533584	0.034	0.193666327	1.017070662
001-AAH	AAH	0.006088556	0	0.005161799	0.069418251	0	0.105040094	0	0.016215518	0	0.012795803	0	0.096522453	0.057878153	0.064073485	0.013166555	0.370892995	0	0.101543984	0	0.081202354	0	0	0.339	0.055724874	1.083511943
002-AAH	AAH	0.030106693	0	0.007101358	0.113816189	0	0.361037803	0	0	0	0	0.024593738	0.010961454	0.015372294	0.018041342	0.033986915	0.22961648	0.033746885	0.020636179	0.100982671	0	0	0	0.041	0.175288584	1.016842658
003-AAH	AAH	0	0	0.000111449	0.1631571	0	0.04991402	0	0.016836163	0.012623291	0	0.007065717	0.079418712	0.027074731	0	0.022893511	0.520603681	0	0	0.098093434	0	0	0.00220819	0.098	0.126269535	1.054642748
004-AAH	AAH	0	0	0.007920782	0.10380684	0	0.405594503	0	0	0	0	0.046372311	0.051347552	0.089385206	0	0.006843145	0.102084978	0	0.061488945	0.125155737	0	0	0	0.254	0.069969883	1.072060786
005-AAH	AAH	0.00646316	0	0.01590868	0.187262419	0.015976248	0	0	0.057457009	0.010095365	0	0.132844904	0.22640743	0.065049389	0	0.013424462	0.215008036	0.000300948	0.02591398	0.027887968	0	0	0	0.031	0.20477357	1.062831668
006-AAH	AAH	0.015184348	0	0.020464331	0.156550967	0	0.169996682	0	0	0	0	0.008869686	0.036441748	0.024864197	0.056172553	0.020356692	0.317533773	0	0.002922987	0.147941641	0.022700394	0	0	0.066	0.149641204	1.026046126
007-AAH	AAH	0	0.062769706	0	0.15041269	0	0.037696594	0	0.026468863	0.133980542	0	0	0.159010297	0.021074578	0	0.073353687	0.258129029	0.022733334	0.025944734	0.018803532	0	0	0.009622416	0.021	0.239001435	1.0013338
008-AAH	AAH	0.015263619	0	0.00741131	0.126928379	0	0.328428839	1.13E-05	0	0	0	0	0.032055185	0.121854549	0.054295409	0.003266635	0.129449732	0	0.064312535	0.116722479	0	0	0	0.025	0.225293165	0.993825487
009-AAH	AAH	0.041049856	0	0.012546695	0.105108469	0	0.278010627	0	0.004299461	0	0	0.018803507	0.019287118	0.054495631	0.106863998	0	0.227613027	0	0.039317998	0.065787153	0	0	0.026816458	0.058	0.155697701	1.023254454
010-AAH	AAH	0.021777784	0	0.004050616	0.425789991	0	0	0	0.035670477	0.060102099	0	0	0.08443324	0.013482216	0	0.116486765	0.142210823	0.068232746	0	0.010373684	0.014492752	0	0.002896806	0.21	0.079997795	1.09453807
012-AAH	AAH	0	0.023958249	3.78E-05	0.212218576	0	0.403797556	0	0	0	0	0	0.035859795	0.033549043	0	0.041811977	0.1162272	0	0.013503682	0.11862706	0.000409069	0	0	0.041	0.177888313	1.033840568
014-AAH	AAH	0.003596036	0.019305745	0	0.196809196	0	0.391055833	0	0.005103257	0	0	0	0.057510664	0.073628028	0	0.028193563	0.105130596	0	0.030547135	0.089119946	0	0	0	0.051	0.162836987	1.039855671
016-AAH	AAH	0.00259971	0	0	0.112919499	0	0.086283963	0	0.022147237	0.022678099	0	0	0.085258597	0.109311363	0	0.059897122	0.297411345	0.094503907	0.011489063	0.095500095	0	0	0	0.1	0.122623635	1.036899701
017-AAH	AAH	0	0	0.002272313	0.188905752	0	0.031933346	0	0.027715739	0	0.015489424	0	0.142098759	0.031732151	0.035253454	0.142428875	0.290986978	0.014884255	0	0.074989591	0	0	0.001309363	0.08	0.138283856	1.057489384
