Gene	Category	AIS	MIA	LUAD
Driver_genes	Driver	0.541666667	0.702702703	0.737373737
EGFR	Driver	0.375	0.432432432	0.646464646
KRAS	Driver	0	0.054054054	0.03030303
ERBB2	Driver	0.041666667	0.081081081	0.03030303
BRAF	Driver	0.125	0.067567568	0.01010101
MET	Driver	0	0.054054054	0
ALK_fusion	Driver	0	0	0.03030303
RET_fusion	Driver	0	0.013513514	0
ROS1_fusion	Driver	0	0	0.01010101
Tumor_suppressor_genes	TSG	0.125	0.162162162	0.444444444
TP53	TSG	0.083333333	0.054054054	0.383838384
RB1	TSG	0	0.013513514	0.080808081
RBM10	TSG	0.041666667	0.121621622	0.050505051
STK11	TSG	0	0	0.02020202
MGA	TSG	0	0.013513514	0.04040404
SMARCA4	TSG	0	0	0.03030303
