Gene_Name	J2C	J2N	J3C	J3N	J5C	J5N	J7C	J7N	J8C	J8N	J9C	J9N	J11S	J11N	J13M	J13N	J14M	J14N	J15M	J15N	J16M	J16N	J17H	J17N	J18M	J18N	J19H	J19S	J19N	J20S	J20N	J21H	J21M	J21N	J22M	J22N	J23M	J23N	J24H	J24N	J25S	J25N	J26M	J26N	J27H1	J27H2	J27S	J27M	J27N	J30H	J30N	J31S	J31N	J32H	J32M	J32N	J33M	J33N	J34M	J34N	J35M	J35N	J36S	J36N	J38H	J38S	J38N	J39M	J39N	J40S	J40M	J40N	J41M	J41N	J42S	J42N	J43S	J43M	J43N	J44M	J44N	J45M	J45N	J46M	J46N
A2M	13.88082809	14.16991115	13.69883638	14.64165062	13.35634133	13.2181586	13.69883638	13.97286121	12.89921626	13.97286121	12.15926256	14.16991115	14.06149754	14.41883985	13.07588282	14.64165062	13.88082809	14.64165062	12.89921626	14.06149754	14.27055821	14.64165062	13.88082809	14.64165062	14.06149754	14.89465569	14.64165062	13.97286121	14.64165062	14.06149754	14.64165062	14.41883985	13.79306498	14.64165062	13.2181586	14.64165062	13.14681643	14.16991115	13.97286121	14.27055821	13.59945483	14.27055821	13.88082809	14.16991115	14.06149754	14.27055821	13.59945483	14.64165062	14.89465569	15.29442496	14.89465569	13.79306498	14.64165062	14.16991115	13.79306498	14.27055821	13.79306498	14.89465569	13.88082809	14.41883985	13.59945483	14.27055821	13.88082809	14.64165062	14.89465569	14.89465569	14.89465569	14.16991115	14.64165062	14.06149754	14.06149754	14.89465569	13.97286121	14.64165062	13.97286121	14.89465569	13.79306498	13.43943594	14.89465569	13.97286121	14.89465569	13.52110459	14.41883985	13.69883638	14.64165062
ABCB1	5.857810716	6.620593392	6.741285595	7.76707856	7.011534774	7.34103374	6.421036908	7.102278818	7.217900014	6.191449381	7.733331338	7.11919435	6.683632966	6.40940508	6.890329428	8.199673513	6.806299504	7.571979218	6.512795008	6.16835216	6.149299534	7.588121197	7.524099506	6.590271585	6.683632966	8.719600894	7.775563644	6.026344272	6.96971131	7.287146182	8.271947069	6.455531739	6.104651167	6.778656814	6.339281634	6.757077235	6.714606964	7.073759039	7.481942589	7.684377945	6.958390451	6.96971131	7.091452388	7.622648024	7.419248935	7.091452388	7.149339459	8.441470536	7.250628906	7.437382522	6.476038302	6.806299504	8.113008169	8.065324126	6.885217719	7.498360107	6.033470199	6.293160687	7.124028355	7.533193439	6.026344272	6.161942852	5.996641613	6.46057486	8.113008169	7.710931039	8.613915284	7.964230834	9.139834224	7.011534774	7.506497444	8.478954957	6.885217719	8.631655189	6.926241627	7.195458922	5.706208199	6.118612364	6.143067318	5.600086352	7.408892777	6.327902249	6.679342693	6.349946744	6.627032663
ABL1	9.634304354	9.554658509	9.681833345	10.67635055	9.507093317	9.44326401	9.164710329	9.703742936	8.631655189	8.877418349	10.1519995	9.919683072	9.689763408	9.724975432	9.539047539	9.983811359	9.247572672	9.870311322	9.744382975	9.471877066	9.543856948	9.455235716	10.13556822	9.947827545	9.48070799	9.427638346	9.919683072	9.516791395	9.68582838	9.724975432	10.11394475	9.156426233	9.124583238	9.093741847	8.939718951	9.744382975	9.132131244	9.493000737	9.458822316	9.65083122	9.053242277	9.053242277	9.983811359	9.655086641	9.124583238	9.17361706	9.115621814	9.164710329	9.215351561	9.554658509	9.354793262	9.870311322	10.12474369	10.33644639	9.822911255	9.983811359	9.484706632	9.543856948	9.427638346	9.534222043	9.665754866	9.045300398	9.822911255	9.898755945	10.21550021	9.693687733	9.744382975	9.373855064	9.337382973	9.543856948	9.822911255	8.902819405	9.148134556	9.655086641	9.543856948	9.831054216	9.139834224	9.971484022	9.30246322	9.543856948	9.703742936	8.914907939	9.363834649	9.30246322	9.655086641
ADA	7.24046994	7.255677193	6.870474811	8.124620468	6.679342693	7.217900014	7.079783172	6.952796705	5.791001598	7.170669057	10.33061368	7.729680622	7.675737815	7.498360107	7.266719624	7.843432445	5.353096403	6.846460482	6.071357649	6.996550156	6.486694264	7.149339459	7.211941585	7.369977404	6.709919131	7.049417491	6.689520487	6.679342693	7.027848088	6.476038302	7.229607949	7.006495731	6.870474811	7.085782255	6.600194342	7.419248935	6.560711316	7.235358946	7.124028355	7.32922079	6.590271585	6.675039625	6.64861866	6.853061472	6.517677823	6.502443511	6.333104224	6.560711316	6.606037651	6.83982915	7.211941585	7.428187665	7.235358946	7.602232692	6.835561707	7.669744741	6.465648998	6.785380847	6.620593392	7.205733332	6.611857388	7.551688123	6.643909431	7.065457168	7.085782255	6.771901295	7.287146182	5.957996105	7.414080148	6.771901295	7.149339459	7.792127154	7.065457168	7.588121197	6.322681449	7.486917363	6.37830105	6.679342693	6.722409099	7.175129509	7.663726667	7.016556278	7.211941585	6.349946744	7.389621097
ADORA2A	7.016556278	7.27178148	6.246136593	6.46057486	6.83982915	6.885217719	6.149299534	6.403949364	7.602232692	6.427207072	7.211941585	7.563020993	7.102278818	7.297177221	6.098449486	7.379417565	6.427207072	6.683632966	6.136970368	7.579484758	6.683632966	7.059689528	6.403949364	7.606950654	6.143067318	6.806299504	7.040377795	7.006495731	7.540844848	6.345432705	7.592817844	7.441889418	6.926241627	7.69312018	6.161942852	7.059689528	6.40940508	7.073759039	7.217900014	7.102278818	6.002051483	6.611857388	6.288420088	6.538082668	6.790004763	6.818989906	6.438304735	6.709919131	6.90088118	6.155504943	6.853061472	7.551688123	6.992425188	6.90088118	6.481351613	7.546276673	6.762226991	7.27178148	6.583950434	7.191408254	6.360748864	7.059689528	6.611857388	6.427207072	7.191408254	6.53197921	5.017744317	6.735738137	5.140695894	6.208009019	5.948751009	6.012281332	7.302063863	6.414840242	5.967182334	7.154235249	6.590271585	6.481351613	7.384528351	6.40940508	7.302063863	5.791001598	6.293160687	6.996550156	6.975437212
AICDA	4.466083261	4.517058178	4.517058178	4.495489597	4.535545706	4.454759504	4.531500288	4.491314848	4.730310004	4.488563209	4.786496794	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	4.541174073	4.519729846	4.527477006	4.460828358	4.553195913	4.537514251	4.551120464	4.523386462	4.493119669	4.531500288	4.522396576	4.537514251	4.493119669	4.497855638	4.523386462	4.5293599	4.535545706	4.533637504	4.497855638	4.4813074	4.524375669	4.519729846	4.85723458	4.534890162	4.514697149	4.605553595	4.524983788	4.536200952	4.533637504	4.522396576	4.484414377	4.50347368	4.449376644	4.4813074	4.488563209	4.522396576	4.517058178	4.534263969	4.464147013	4.493119669	4.478193717	4.517058178	4.428699145	4.446736733	4.488563209	4.472151196	4.487618034	4.322932479	4.533637504	4.348268678	4.497855638	4.50347368	4.321928095	4.534890162	4.321928095	4.524375669	4.472151196	4.544003972	4.543517978	4.485035738	4.489507766	4.510702012	4.524375669	4.519729846	4.547401353	4.497855638
AIRE	4.466083261	4.517058178	4.517058178	4.495489597	4.535545706	4.751690696	4.531500288	4.491314848	4.730310004	4.488563209	5.744148278	4.549727837	4.544003972	4.541174073	4.5974354	4.562471405	4.517058178	4.536200952	4.571958457	4.541174073	4.519729846	4.527477006	4.460828358	4.553195913	4.537514251	4.551120464	4.523386462	4.493119669	4.531500288	4.522396576	4.537514251	4.493119669	4.497855638	4.523386462	4.5293599	4.535545706	4.533637504	4.497855638	4.4813074	4.524375669	4.519729846	4.85723458	4.534890162	4.514697149	4.605553595	4.524983788	4.536200952	4.533637504	4.522396576	4.484414377	4.50347368	4.449376644	4.4813074	4.488563209	4.522396576	4.517058178	4.534263969	4.464147013	4.493119669	4.478193717	4.517058178	4.428699145	4.446736733	4.488563209	4.472151196	4.487618034	5.173451093	4.533637504	5.173451093	4.497855638	4.50347368	5.36775379	4.534890162	4.910504254	4.524375669	4.472151196	4.544003972	4.543517978	4.485035738	4.489507766	4.510702012	4.524375669	4.519729846	4.547401353	4.497855638
AKT3	9.30246322	10.2271999	9.177679957	10.38257546	9.484706632	9.373855064	8.926946131	9.563467776	10.07014235	9.194414487	10.53773731	9.850689345	9.842260911	10.01568352	9.027959297	10.18163444	9.693687733	10.02691793	9.124583238	10.17013207	9.735347693	10.26553719	9.693687733	10.12474369	9.25720654	10.38823593	10.36198697	9.794536357	10.21550021	9.577230201	9.908608676	9.621121501	9.322876833	9.655086641	8.56619995	9.880801026	8.838957393	9.888302213	9.903690722	10.04287571	9.097764718	10.20412525	9.507093317	10.33644639	9.779727855	9.499301595	9.080561546	9.794536357	9.813660962	9.563467776	9.52579041	9.411262043	9.842260911	9.735347693	9.29326444	9.735347693	9.143990359	10.14624484	8.872603797	9.842260911	9.036728665	9.880801026	9.507093317	10.40466654	10.03816306	9.724975432	10.08920407	9.784591031	10.34929821	9.181731444	9.135987875	9.908608676	9.499301595	10.57214269	8.944365558	9.962752988	9.31821918	9.073696248	9.756499535	9.25720654	10.15773129	9.089707728	9.774848229	9.534222043	9.98925831
ALCAM	10.73634998	10.53051944	9.724975432	9.831054216	10.91065924	9.677827217	10.6307903	10.39973288	9.252397647	10.01568352	8.080224926	10.51503263	10.32475731	10.36198697	10.99378638	10.64576596	10.48960071	10.75312709	10.44916744	10.68904888	10.17013207	9.893538547	9.784591031	11.08371612	10.83967059	10.57214269	10.70226814	10.68904888	10.71921339	10.05785171	10.46397411	10.11394475	10.29003668	10.1023471	10.96954473	10.95092217	11.23758664	10.70226814	10.99378638	10.83967059	10.55813709	10.21550021	11.15824653	10.64576596	10.76985063	10.66080569	11.01187109	10.48960071	10.71921339	10.08462714	10.55813709	9.962752988	10.29003668	10.05785171	10.44916744	10.34929821	11.21013433	10.94105302	10.67635055	10.35565654	10.96954473	10.31393035	10.87753512	11.23758664	10.55154331	9.971484022	11.13506115	10.25340278	10.93111589	10.58826054	10.99378638	10.46397411	11.85161	10.93111589	10.11394475	10.51503263	10.38823593	11.44939273	10.27902378	10.39973288	9.630136221	10.00492686	10.96954473	10.39399586	10.20412525
AMBP	4.848193689	4.920196872	5.100950124	4.76884281	4.535545706	4.454759504	4.531500288	4.491314848	6.385154691	4.488563209	6.606037651	4.549727837	4.544003972	4.541174073	6.403949364	4.562471405	4.517058178	4.536200952	7.211941585	4.541174073	5.034633917	5.505182063	4.937361208	4.553195913	4.537514251	4.551120464	4.523386462	5.109848062	4.531500288	4.522396576	5.274971562	4.848193689	4.497855638	4.523386462	5.59269195	6.143067318	6.155504943	4.497855638	4.690942492	4.891644851	5.091996965	4.85723458	5.091996965	4.910504254	5.81007581	4.524983788	4.536200952	5.443233664	4.522396576	4.484414377	4.50347368	4.449376644	5.283780698	5.237426232	5.803430021	4.517058178	5.3458044	5.76375459	6.794613906	4.478193717	5.204389486	4.973387142	5.462196475	4.488563209	4.472151196	5.390492454	6.771901295	7.128846217	6.56591627	5.41076024	4.50347368	6.853061472	5.382825738	6.963962591	5.928260332	4.472151196	4.544003972	7.948027865	4.485035738	4.489507766	4.510702012	4.524375669	4.519729846	4.547401353	4.497855638
