"Gene","AIS_vs_Normal","MIA_vs_Normal","LUAD_vs_Normal","MIA_vs_AIS","LUAD_vs_AIS","LUAD_vs_MIA","Pattern"
"COMP",1.27775477712918,2.98943497770708,4.2336294312578,1.7116802005779,2.95587465412861,1.24419445355071,"p1"
"SLC44A5",1.75404836004832,2.799465261384,4.00200505596494,1.04541690133568,2.24795669591661,1.20253979458093,"p1"
"FAM83A",1.65196693519005,2.83552334172713,5.30671548287156,1.18355640653708,3.65474854768151,2.47119214114443,"p1"
"PGLYRP4",1.37442401274285,3.16763162857697,4.73386290252972,1.79320761583412,3.35943888978686,1.56623127395274,"p1"
"CST1",1.00492066107877,3.9624708174754,6.3266807858832,2.95755015639662,5.32176012480443,2.36420996840781,"p1"
"BCL2L15",1.35501379682764,2.54396273030525,3.55542278838588,1.18894893347761,2.20040899155824,1.01146005808063,"p1"
"C6orf222",1.44941783000934,3.15862235237684,5.55910636723933,1.7092045223675,4.10968853722999,2.40048401486249,"p1"
"CLPSL2",1.70881163161571,3.2804514589114,5.63281791832251,1.57163982729569,3.9240062867068,2.35236645941111,"p1"
"ARSH",1.60078746788288,2.85030706724218,5.09214287476693,1.2495195993593,3.49135540688405,2.24183580752475,"p1"
"PROM1",1.51445771566187,1.39830681387717,3.37040820428425,-0.116150901784702,1.85595048862239,1.97210139040709,"p2"
"DEPDC1",1.09287560035892,0.834984945065221,2.60826945284626,-0.257890655293695,1.51539385248735,1.77328450778104,"p2"
"HMGB3",2.31160293929615,1.65229478810501,2.81156817999571,-0.659308151191142,0.499965240699559,1.1592733918907,"p2"
"CP",3.28948303801378,2.40921408085801,4.31943523246214,-0.880268957155771,1.02995219444835,1.91022115160412,"p2"
"HMMR",1.10675276004686,0.612921300905146,1.96151678462366,-0.49383145914172,0.854764024576793,1.34859548371851,"p2"
"UBE2T",1.18627024708193,0.709141425585001,1.75518301435388,-0.477128821496922,0.568912767271964,1.04604158876888,"p2"
"CDH17",2.06898065039385,1.64303633691361,2.97307364993566,-0.425944313480242,0.904092999541811,1.33003731302205,"p2"
"MYBL2",1.16088667160946,0.74512561044616,2.71188890956252,-0.415761061163301,1.55100223795306,1.96676329911636,"p2"
"OXT",1.6651817618365,0.811971763292149,2.09272471920175,-0.853209998544349,0.427542957365247,1.2807529559096,"p2"
"TAF7L",1.00158500608995,0.845950662198019,2.4766252150285,-0.155634343891932,1.47504020893855,1.63067455283048,"p2"
"CNTD2",1.08072005150676,0.114318577780322,1.95527562305834,-0.966401473726428,0.874555571551586,1.84095704527801,"p2"
"RASAL1",1.90008154135693,2.04760604191087,3.07948500559668,0.147524500553941,1.17940346423975,1.03187896368581,"p2"
"OTX1",1.50472289658073,1.58950478414485,2.76318754882767,0.0847818875641208,1.25846465224694,1.17368276468282,"p2"
"ATP10B",1.29607621704272,2.08127829540804,5.18613487055583,0.785202078365317,3.89005865351311,3.10485657514779,"p2"
"SPP1",2.18848824118411,2.87208309578073,5.33386937222957,0.683594854596613,3.14538113104546,2.46178627644884,"p2"
"NXPH1",1.03326788137808,0.0790715709910977,4.08455919662965,-0.954196310386991,3.05129131525156,4.00548762563856,"p2"
"ZWINT",1.00698483228528,0.620219782397691,1.92190492596584,-0.386765049887594,0.91492009368055,1.30168514356814,"p2"
"COL10A1",1.79087942243254,2.78050827780907,3.92701145572199,0.989628855376525,2.13613203328944,1.14650317791292,"p2"
"WFDC3",1.56254170423239,0.933624198501837,3.04880487143001,-0.628917505730554,1.48626316719762,2.11518067292817,"p2"
"SPDEF",2.07314805964558,2.43246918722076,3.49502026407904,0.359321127575183,1.42187220443346,1.06255107685828,"p2"
"SCGB2A1",1.27793365491279,1.44951301679899,2.73636599506876,0.17157936188621,1.45843234015597,1.28685297826977,"p2"
"SIX1",1.8145282121038,2.059380479599,3.1900530622758,0.244852267495202,1.375524850172,1.1306725826768,"p2"
"FEZF1",3.22881869049598,4.06493140838947,5.20432896954484,0.836112717893492,1.97551027904886,1.13939756115537,"p2"
"CATSPERB",1.12944610397428,0.931762512018077,2.31396082913378,-0.1976835919562,1.1845147251595,1.3821983171157,"p2"
"ADAMDEC1",1.06914194873714,0.960674243895827,2.9995195126044,-0.108467704841313,1.93037756386726,2.03884526870857,"p2"
"VTCN1",1.30705197831803,1.94286823106431,4.06199200965689,0.635816252746271,2.75494003133885,2.11912377859258,"p2"
"USP26",1.60432782558812,1.71124302950462,3.21640217192652,0.106915203916503,1.61207434633841,1.50515914242191,"p2"
"IGFBPL1",1.80847910865658,1.52732011356166,2.84973899573392,-0.281158995094919,1.04125988707734,1.32241888217225,"p2"
"TFAP2A",1.04215898577216,1.25552089070495,3.07166846089753,0.213361904932788,2.02950947512537,1.81614757019258,"p2"
"TMPRSS4",3.7709603665565,3.52464758510773,5.18943762627531,-0.246312781448773,1.41847725971882,1.66479004116759,"p2"
"TRIM54",2.22039943751793,2.33213165773222,3.50225771764339,0.111732220214282,1.28185828012546,1.17012605991118,"p2"
"GCNT3",3.25598207057281,3.25396591797594,5.2342302495887,-0.00201615259686352,1.97824817901589,1.98026433161275,"p2"
"CRABP2",1.59299202184753,1.80894604376468,3.99946866560729,0.215954021917155,2.40647664375976,2.19052262184261,"p2"
"ATP6V1C2",1.29852140970131,1.34260562673892,2.430793211425,0.0440842170376049,1.13227180172369,1.08818758468609,"p2"
"OCIAD2",1.20714687641115,1.22977074458959,2.23282150666095,0.02262386817845,1.0256746302498,1.00305076207136,"p2"
"LGSN",1.54303869024806,2.36890630490277,4.72789215225096,0.825867614654712,3.1848534620029,2.35898584734819,"p2"
"GSDMC",3.68067178510029,2.95233326588655,4.41668099247467,-0.728338519213736,0.736009207374377,1.46434772658812,"p2"
"LCN2",2.28040303282831,2.20407598776165,3.22262990700587,-0.0763270450666612,0.942226874177559,1.01855391924422,"p2"
"MMP3",1.10312920949571,1.80097632097594,2.9016903064884,0.697847111480224,1.79856109699268,1.10071398551245,"p2"
"SLC7A11",1.25098573481192,0.743136644044573,2.40635068666836,-0.507849090767338,1.15536495185645,1.66321404262378,"p2"
"DDX4",1.36374827058201,1.89304294911853,3.08148439326818,0.529294678536521,1.71773612268616,1.18844144414965,"p2"
"SLC24A2",1.35161977982421,2.26261477376545,4.10983396509392,0.910994993941239,2.75821418526971,1.84721919132847,"p2"
"RAET1L",3.4214637684384,3.27561290197492,4.95468269406556,-0.145850866463467,1.53321892562717,1.67906979209064,"p2"
"GRIP1",1.16841798402692,0.522616416741084,1.70116708805313,-0.645801567285844,0.532749104026209,1.17855067131205,"p2"
"GRHL3",1.14025413476599,1.72377466131323,2.97278332783335,0.583520526547242,1.83252919306737,1.24900866652012,"p2"
"CILP2",1.06696031659429,1.69389441279478,3.61909415193874,0.626934096200495,2.55213383534445,1.92519973914395,"p2"
"CELF5",2.36351641922903,2.5300008893788,3.70412822907625,0.16648447014978,1.34061180984723,1.17412733969745,"p2"
"FGF11",1.69535242481841,1.1213020803312,2.62933892016947,-0.574050344487203,0.933986495351064,1.50803683983826,"p2"
