"Gene","GENENAME","AIS_vs_Normal","MIA_vs_Normal","LUAD_vs_Normal","MIA_vs_AIS","LUAD_vs_AIS","LUAD_vs_MIA","Pattern"
"ARSH","arylsulfatase family member H",1.600787468,2.850307067,5.092142875,1.249519599,3.491355407,2.241835808,"p1"
"BCL2L15","BCL2 like 15",1.355013797,2.54396273,3.555422788,1.188948933,2.200408992,1.011460058,"p1"
"C6orf222","chromosome 6 open reading frame 222",1.44941783,3.158622352,5.559106367,1.709204522,4.109688537,2.400484015,"p1"
"CLPSL2","colipase like 2",1.708811632,3.280451459,5.632817918,1.571639827,3.924006287,2.352366459,"p1"
"COMP","cartilage oligomeric matrix protein",1.277754777,2.989434978,4.233629431,1.711680201,2.955874654,1.244194454,"p1"
"CST1","cystatin SN",1.004920661,3.962470817,6.326680786,2.957550156,5.321760125,2.364209968,"p1"
"FAM83A","family with sequence similarity 83 member A",1.651966935,2.835523342,5.306715483,1.183556407,3.654748548,2.471192141,"p1"
"PGLYRP4","peptidoglycan recognition protein 4",1.374424013,3.167631629,4.733862903,1.793207616,3.35943889,1.566231274,"p1"
"SLC44A5","solute carrier family 44 member 5",1.75404836,2.799465261,4.002005056,1.045416901,2.247956696,1.202539795,"p1"
"ADCY8","adenylate cyclase 8",-0.036027302,-1.109459817,-3.310680599,-1.073432515,-3.274653297,-2.201220782,"p10"
"C1QTNF1-AS1","C1QTNF1 antisense RNA 1",-0.545214746,-1.582466796,-2.777235869,-1.03725205,-2.232021123,-1.194769072,"p10"
"CRTAC1","cartilage acidic protein 1",0.639517449,-0.582051203,-1.781681903,-1.221568653,-2.421199352,-1.1996307,"p10"
"PRKACG","protein kinase cAMP-activated catalytic subunit gamma",0.172044275,-1.296579768,-2.469876277,-1.468624043,-2.641920552,-1.173296509,"p10"
"RS1","retinoschisin 1",-0.288840284,-1.319701248,-3.093591062,-1.030860964,-2.804750779,-1.773889815,"p10"
"WIF1","WNT inhibitory factor 1",0.948428159,-0.175691652,-2.075938698,-1.12411981,-3.024366857,-1.900247047,"p10"
"FAM71A","family with sequence similarity 71 member A",-0.630569583,-3.200948761,-3.64457968,-2.570379178,-3.014010097,-0.443630919,"p11"
"PPP1R17","protein phosphatase 1 regulatory subunit 17",-0.027309769,-1.563083158,-1.686940092,-1.535773389,-1.659630324,-0.123856934,"p11"
"SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1",0.257996062,-1.157158383,-1.901031981,-1.415154445,-2.159028043,-0.743873598,"p11"
"AATK","apoptosis associated tyrosine kinase",-0.090370348,-0.549224531,-1.974956088,-0.458854184,-1.88458574,-1.425731557,"p12"
"ABCG5","ATP binding cassette subfamily G member 5",-0.403217971,-0.399358284,-1.411821667,0.003859687,-1.008603696,-1.012463383,"p12"
"ACADL","acyl-CoA dehydrogenase long chain",-0.315644273,-0.560760623,-2.096425954,-0.24511635,-1.780781681,-1.535665331,"p12"
"ACOXL","acyl-CoA oxidase like",0.398429609,0.62160614,-0.611944174,0.223176532,-1.010373783,-1.233550315,"p12"
"ADAD2","adenosine deaminase domain containing 2",-0.939262611,-0.607925878,-1.88800907,0.331336733,-0.948746459,-1.280083192,"p12"
"ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9",0.043453352,-0.112309527,-1.160196183,-0.155762878,-1.203649535,-1.047886656,"p12"
"AFF3","AF4/FMR2 family member 3",0.134235108,-0.141344044,-1.179963682,-0.275579152,-1.314198791,-1.038619638,"p12"
"ANGPT1","angiopoietin 1",-0.721067634,-0.505116969,-1.510037483,0.215950665,-0.788969849,-1.004920514,"p12"
"AQP4","aquaporin 4",0.468413853,0.060386982,-1.347289218,-0.40802687,-1.81570307,-1.4076762,"p12"
"ARHGEF26","Rho guanine nucleotide exchange factor 26",-0.818448064,-1.137001447,-2.140574787,-0.318553383,-1.322126723,-1.00357334,"p12"
"ART4","ADP-ribosyltransferase 4 (Dombrock blood group)",-0.593461883,-0.162206953,-1.323195374,0.431254931,-0.72973349,-1.160988421,"p12"
"CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2",0.316530268,0.106577301,-1.092489078,-0.209952966,-1.409019346,-1.19906638,"p12"
"CAPN11","calpain 11",-0.224808975,0.377437074,-0.859343413,0.602246049,-0.634534439,-1.236780488,"p12"
"CCDC68","coiled-coil domain containing 68",-0.446315468,-0.290400862,-1.296901427,0.155914605,-0.85058596,-1.006500565,"p12"
"CHRM2","cholinergic receptor muscarinic 2",-0.966894078,-1.096378153,-2.307126606,-0.129484075,-1.340232528,-1.210748453,"p12"
"CHRNA2","cholinergic receptor nicotinic alpha 2 subunit",-0.121138491,-0.106968476,-1.442432377,0.014170015,-1.321293886,-1.335463901,"p12"
"CLDN18","claudin 18",-0.294298135,-0.721155481,-2.402750157,-0.426857347,-2.108452022,-1.681594676,"p12"
"CLDN24","claudin 24",-0.82606931,-0.706672821,-1.724947496,0.119396489,-0.898878186,-1.018274675,"p12"
"CLEC4F","C-type lectin domain family 4 member F",-0.393148345,-0.236342058,-1.344762324,0.156806287,-0.951613979,-1.108420266,"p12"
"CLIC5","chloride intracellular channel 5",-0.90464977,-1.079434981,-2.336531575,-0.174785212,-1.431881806,-1.257096594,"p12"
"COL4A6","collagen type IV alpha 6 chain",-0.367208272,-0.325174135,-1.359647086,0.042034137,-0.992438814,-1.034472951,"p12"
