Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
CHG020317	0.0239244733630899	0	0.0620592950003442	0.052939547398661	0	0.109569506222153	0	0.0104834854153113	0	0	0.0266455207693745	0.0216950163738035	0.0330496043200106	0.0392950891305577	0	0.146624950677413	0	0	0.0291252571461127	0.00948129079237929	0	0.00992216139778696	0.014	0.245716645618235	0.982188573011335	0.574815198006997
CHG020280	0.0424415913819118	0	0.169724019796458	0.170626280827354	0	0.187870673822143	0	0.0352566647606982	0	0	0.103383921347755	0.0323455187014031	0.0870442850399258	0.132204271854831	0	0.281132694350003	0	0.0469671839547893	0.205684136249934	0	0	0	0.012	0.253322678920114	0.976783249137912	1.49468124208721
CHG019741	0.00311750703368213	0	0.0410753872418302	0.138301651056034	0	0.260581982348846	0	0	0	0	0.0829576096223982	0.0514331026041424	0.0889855582076246	0.0346130178833526	0.00141270565717085	0.322655146012074	0	0.0637019391335139	0.119045560780835	0	0	0.00677774851907249	0.001	0.342441104154995	0.942901989878555	1.21465891610058
CHG020286	0	0.00264303563182024	0.0298583101043759	0.135247481069577	0	0.342417171906857	0	0	0	0	0.0721069370236781	0.0717681982986754	0.0778249545017144	0.171096573850692	0	0.382841760339512	0	0.0496561384385985	0.0349881692469846	0.0764234589851623	0	0.0332263716652861	0.015	0.236656275220694	0.995043801053188	1.48009856106293
CHG020301	0	0	0.109898504185968	0.0785733610282283	0	0.35763676942113	0	0.0189746580712037	0.00397008335023001	0	0.181614551583656	0.0523955251512271	0.154462958314764	0	0.000386237826111224	0.213379499539591	0.00863258156686727	0	0.262813198272826	0	0	0	0.018	0.225647175544355	0.996829619625026	1.4427379283118
CHG020250	0	0	0.0271931971799998	0.0769931571725726	0	0.253914407153855	0	0	0	0	0.00434764783359071	0.0483293495898223	0.109422437493996	0.00650269581302308	0	0.698117491698195	0	0.0249210558896972	0.274619751076048	0	0	0	0.001	0.411507468917859	0.912778876424176	1.5243611909008
CHG020025	0	0	0.0236026098423938	0.0960375179195844	0	0.337546631629871	0	0.0319651490483837	0	0	0.0862555271438238	0.0268386286947276	0.134766605812755	0.0859107128446255	0	0.593637073543643	0	0.0993466603290936	0.150281265510006	0	0	0	0.00600000000000001	0.279681715175256	0.972817652650677	1.66618838231891
CHG020780	0.0230751144349111	0	0.0478516251947744	0.121393493289431	0	0.425037053325937	0	0.0137703048031583	0.00501095076869482	0	0.126838725045075	0.0110343057697677	0.132878887450518	0	0.0315027848530071	0.281435689018149	0	0.0104836337057406	0.392522560374922	0	0	0	0.004	0.308425599434064	0.960044412361175	1.62283512803409
CHG021787	0.00817088210312217	0	0.0466622231578323	0.126492968226568	0	0.530156256387257	0	0	0	0	0.209531542668139	0.00075261752095278	0.157463586889156	0	0	0.320944755221203	0	0.0422713033498996	0.121684829846305	0.00861411537641749	0	0.0629982793141354	0.014	0.247409778880556	0.989374196835023	1.63574336006099
CHG019689	0.00789919844607653	0.000967180710571359	0.0114448961531348	0.152075658023512	0	0.474720144370646	0	0.00472115531930035	0.00860502699821617	0	0.131538762804684	0.0428352294959485	0.153016295158084	0.00106718628303108	0.0306356547364935	0.270639106491274	0	0.0145662693810258	0.226049509026044	0	0	0	0.003	0.318900605323174	0.956735519053377	1.53078127339804
CHG021812	0.0342349406913144	0	0.105428619215713	0.0918321703879627	0	0.326258502611324	0	0	0	0	0.0883568583913482	0.00330498593664525	0.109708280123924	0.218791346025277	0	0.993908651463885	0.00216433531431928	0.026256995699145	0.157683442744993	0	0	0	0.001	0.415767981426485	0.911618464594323	2.15792912860585
X4942N	0	0.0173177969828056	0.0763316988791155	0.151284584645582	0	0.365103172183014	0	0	0	0	0.174788078078041	0.0579441777459521	0.110694099650316	0.0387408838074758	0.00546033421030872	0.400573598587612	0	0.0667260034340976	0.142713776315001	0	0	0.0118461430581726	0.001	0.347611758782298	0.94061840851528	1.61952434757749
CHG021095	0	0	0.103006344836268	0.0854998671526086	0	0.219837480519961	0	0.059664216326077	0	0	0.0229497156366064	0.022770568972897	0.0448171719625976	0.0698191024744933	0	0.326798147666181	0	0.0558750797339659	0.353239764258051	0.0341970492942935	0	0.0213329975983335	0.001	0.32944786961332	0.949503588977697	1.41980750643233
CHG021102	0.0480718586252413	0	0.0803199549547404	0.119151881284228	0	0.488437918859826	0	0.018291214025432	0	0	0.0937209294446289	0.0293025856197051	0.13098717319984	0.0751959119880379	0.0867517592704885	0.343498667426992	0	0	0.193500342184015	0	0	0.0108143734096496	0.001	0.403758491550809	0.914156634696348	1.71804457029282
CHG020324	0	0	0.24283646178388	0.268406639866488	0.0688832662845531	0.161728519759954	0	0	0	0	0.155958555560348	0.015217309851217	0.137596542768402	0.0422068195516332	0	0.147699998650448	0.0118803177101346	0.0504322479924246	0.0909728336773702	0	0	0	0.005	0.296511295576065	0.961839072977062	1.39381951345685
X5069N	0	0.00978094654039712	0.0378549288554103	0.202978641691992	0	0.448395974076667	0	0.00734789778467422	0	0	0.165802943366229	0.0685106860721811	0.192816521772302	0.073359153344254	0.0175142301061598	0.316068792426962	0	0	0.118458157725652	0	0	0	0.004	0.303129569027248	0.965341572351888	1.65888887376288
CHG020810	0	0	0.0819583973763097	0.0984434995260454	0	0.37996586397093	0	0.00425007421132799	0	0	0.0562040103393797	0	0.076459188075074	0.0245017008687379	0.000146187879805607	0.446377508233173	0	0.0518266794759609	0.127517645495013	0.0663177362324115	0	0.0234983256375297	0.00700000000000001	0.27262496594114	0.972955071456462	1.4374668173217
CHG019687	0.0757065149547541	0	0.0155902517543685	0.0600807960009239	0	0.354411320439638	0	0	0.00271040972743794	0	0.134165580212704	0.0604608854135974	0.103474314829189	0.0119884209434376	0.00716041575424132	0.266679674558973	0	0	0.392736886366532	0	0	0	0.001	0.364814163710429	0.935022616565723	1.4851654709558
CHG019509	0.019447810713408	0	0.0215268324887204	0.0625781872519781	0	0.320019656738625	0	0	0	0	0.110793055834624	0	0.0706084886334664	0.120009191570473	0	0.355318769591752	0	0.025127133068184	0.195955891521748	0	0	0.0205992727159406	0.003	0.315523399784688	0.955748871755009	1.32198429012892
CHG019501	0	0	0.0497403668161013	0.100255846038048	0	0.273833982836128	0	0	0	0	0.123763479957637	0.0320426515144963	0.0700554998450523	0.0515052039752178	0.0193304376783471	0.432891711005376	0	0.0583691454783104	0.191269828029861	0	0	0.00104492753931075	0.001	0.352639035167196	0.937923456175958	1.40410308071389
