SampleID	Group	Group_detailed
CHG020317	Normal	Normal
CHG020280	Normal	Normal
CHG019741	Normal	Normal
CHG020286	Normal	Normal
CHG020301	Normal	Normal
CHG020250	Normal	Normal
CHG020025	Normal	Normal
CHG020780	Normal	Normal
CHG021787	Normal	Normal
CHG019689	Normal	Normal
CHG021812	Normal	Normal
X4942N	Normal	Normal
CHG021095	Normal	Normal
CHG021102	Normal	Normal
CHG020324	Normal	Normal
X5069N	Normal	Normal
CHG020810	Normal	Normal
CHG019687	Normal	Normal
CHG019509	Normal	Normal
CHG019501	Normal	Normal
CHG019499	Normal	Normal
CHG019788	Normal	Normal
CHG018367	Normal	Normal
CHG020270	Normal	Normal
CHG020278	Normal	Normal
CHG019743	Normal	Normal
CHG019709	Normal	Normal
CHG020244	Normal	Normal
CHG019701	Normal	Normal
CHG019779	Normal	Normal
CHG019705	Normal	Normal
CHG020335	Normal	Normal
CHG020326	Normal	Normal
CHG020796	Normal	Normal
CHG020021	Normal	Normal
CHG020011	Normal	Normal
CHG020760	Normal	Normal
CHG020754	Normal	Normal
CHG021051	Normal	Normal
CHG021811	Normal	Normal
CHG021055	Normal	Normal
CHG021781	Normal	Normal
CHG021769	Normal	Normal
CHG020260	Normal	Normal
CHG020792	Normal	Normal
X4873N	Normal	Normal
X4912N	Normal	Normal
X4933N	Normal	Normal
X5081N	Normal	Normal
CHG019773	Normal	Normal
CHG020312	Normal	Normal
CHG019983	Normal	Normal
CHG020778	Normal	Normal
CHG021120	Normal	Normal
CHG020788	Normal	Normal
CHG021128	Normal	Normal
CHG021104	Normal	Normal
CHG021804	Normal	Normal
CHG021755	Normal	Normal
CHG021795	Normal	Normal
CHG020790	Normal	Normal
CHG020784	Normal	Normal
CHG021108	Normal	Normal
CHG020782	Normal	Normal
X4894N	Normal	Normal
X4941N	Normal	Normal
X4948N	Normal	Normal
X5091N	Normal	Normal
CHG020256	Normal	Normal
CHG018348	Normal	Normal
X3246N	Normal	Normal
CHG019733	Normal	Normal
CHG019737	Normal	Normal
CHG020027	Normal	Normal
CHG020268	Normal	Normal
CHG021083	Normal	Normal
CHG020276	Normal	Normal
CHG021079	Normal	Normal
CHG021067	Normal	Normal
CHG017877	Normal	Normal
CHG019116	Normal	Normal
CHG020319	Normal	Normal
CHG020034	Normal	Normal
X2267N	Normal	Normal
CHG020045	Normal	Normal
CHG019719	Normal	Normal
CHG020821	Normal	Normal
CHG020813	Normal	Normal
CHG020827	Normal	Normal
CHG018361	Normal	Normal
CHG019552	Normal	Normal
CHG018363	Normal	Normal
CHG019537	Normal	Normal
CHG019777	Normal	Normal
CHG019673	Normal	Normal
CHG020819	Normal	Normal
CHG020809	Normal	Normal
CHG019525	Normal	Normal
CHG020794	Normal	Normal
X3238N	Normal	Normal
X3244N	Normal	Normal
CHG020047	Normal	Normal
CHG020051	Normal	Normal
CHG020057	Normal	Normal
CHG019731	Normal	Normal
CHG020060	Normal	Normal
CHG020314	Normal	Normal
CHG020049	Normal	Normal
CHG019106	Normal	Normal
CHG019108	Normal	Normal
CHG019669	Normal	Normal
CHG019791	Normal	Normal
CHG019112	Normal	Normal
CHG018353	Normal	Normal
CHG019547	Normal	Normal
CHG020274	Normal	Normal
CHG020272	Normal	Normal
X2066N	Normal	Normal
CHG019677	Normal	Normal
CHG020318	Normal	Normal
CHG020292	Normal	Normal
CHG020800	Normal	Normal
CHG020835	Normal	Normal
CHG021093	Normal	Normal
CHG021071	Normal	Normal
CHG021073	Normal	Normal
CHG021061	Normal	Normal
CHG021081	Normal	Normal
CHG021089	Normal	Normal
CHG021091	Normal	Normal
