SampleID	Group
J2C	LUAD
J2N	NL
J3C	LUAD
J3N	NL
J5C	LUAD
J5N	NL
J7C	LUAD
J7N	NL
J8C	LUAD
J8N	NL
J9C	LUAD
J9N	NL
J11S	AIS
J11N	NL
J13M	MIA
J13N	NL
J14M	MIA
J14N	NL
J15M	MIA
J15N	NL
J16M	MIA
J16N	NL
J17H	AAH
J17N	NL
J18M	MIA
J18N	NL
J19H	AAH
J19S	AIS
J19N	NL
J20S	AIS
J20N	NL
J21H	AAH
J21M	MIA
J21N	NL
J22M	MIA
J22N	NL
J23M	MIA
J23N	NL
J24H	AAH
J24N	NL
J25S	AIS
J25N	NL
J26M	MIA
J26N	NL
J27H1	AAH
J27H2	AAH
J27S	AIS
J27M	MIA
J27N	NL
J30H	AAH
J30N	NL
J31S	AIS
J31N	NL
J32H	AAH
J32M	MIA
J32N	NL
J33M	MIA
J33N	NL
J34M	MIA
J34N	NL
J35M	MIA
J35N	NL
J36S	AIS
J36N	NL
J38H	AAH
J38S	AIS
J38N	NL
J39M	MIA
J39N	NL
J40S	AIS
J40M	MIA
J40N	NL
J41M	MIA
J41N	NL
J42S	AIS
J42N	NL
J43S	AIS
J43M	MIA
J43N	NL
J44M	MIA
J44N	NL
J45M	MIA
J45N	NL
J46M	MIA
J46N	NL
