SampleID	Group
001-NL	NL
002-NL	NL
003-NL	NL
004-NL	NL
005-NL	NL
006-NL	NL
007-NL	NL
009-NL	NL
010-NL	NL
014-NL	NL
016-NL	NL
017-NL	NL
018-NL	NL
020-NL	NL
022-NL	NL
001-AAH	AAH
002-AAH	AAH
003-AAH	AAH
004-AAH	AAH
005-AAH	AAH
006-AAH	AAH
007-AAH	AAH
008-AAH	AAH
009-AAH	AAH
010-AAH	AAH
012-AAH	AAH
014-AAH	AAH
016-AAH	AAH
017-AAH	AAH
018-AAH	AAH
020-AAH	AAH
022-AAH	AAH
001-LUAD	LUAD
002-LUAD	LUAD
003-LUAD	LUAD
004-LUAD	LUAD
005-LUAD	LUAD
006-LUAD	LUAD
007-LUAD	LUAD
008-LUAD	LUAD
009-LUAD	LUAD
010-LUAD	LUAD
014-LUAD	LUAD
016-LUAD	LUAD
017-LUAD	LUAD
018-LUAD	LUAD
020-LUAD	LUAD
022-LUAD	LUAD
